,County,Income per Capita,Population,Doses,Doses per Capita
67,"Ness, KS",58901,2750,300,0.10909090909090909
68,"Norton, KS",47838,5361,0,0.0
69,"Osage, KS",43460,15949,100,0.006269985579033168
70,"Osborne, KS",52889,3421,300,0.08769365682548963
71,"Ottawa, KS",45417,5704,0,0.0
72,"Pawnee, KS",46226,6414,100,0.015590894917368257
73,"Phillips, KS",56113,5234,100,0.019105846388995033
74,"Pottawatomie, KS",55271,24383,100,0.004101218061764344
75,"Pratt, KS",53891,9164,400,0.04364906154517678
76,"Rawlins, KS",62147,2530,200,0.07905138339920949
77,"Reno, KS",42115,61998,0,0.0
78,"Republic, KS",50019,4636,1000,0.21570319240724764
79,"Rice, KS",47243,9537,100,0.010485477613505295
80,"Riley, KS",42528,74232,200,0.002694255846535187
81,"Rooks, KS",44398,4920,1200,0.24390243902439024
82,"Rush, KS",52199,3036,100,0.03293807641633729
83,"Russell, KS",47049,6856,0,0.0
84,"Saline, KS",50820,54224,100,0.0018442018294482147
85,"Scott, KS",74223,4823,900,0.18660584698320548
86,"Sedgwick, KS",53577,516042,100,0.00019378267660384233
87,"Seward, KS",41567,21428,15530,0.7247526600709352
88,"Shawnee, KS",47991,176875,500,0.0028268551236749115
89,"Sheridan, KS",62156,2521,7020,2.78460928203094
90,"Sherman, KS",46588,5917,0,0.0
91,"Smith, KS",53381,3583,100,0.027909572983533353
92,"Stafford, KS",55629,4156,0,0.0
93,"Stanton, KS",75841,2006,0,0.0
94,"Stevens, KS",49540,5485,0,0.0
95,"Sumner, KS",42524,22836,1100,0.04816955684007707
96,"Thomas, KS",52540,7777,100,0.012858428700012858
97,"Trego, KS",53593,2803,400,0.14270424545130217
98,"Wabaunsee, KS",52706,6931,100,0.014427932477276006
99,"Wallace, KS",64805,1518,0,0.0
100,"Washington, KS",52141,5406,100,0.01849796522382538
101,"Wichita, KS",86215,2119,0,0.0
102,"Wilson, KS",44521,8525,100,0.011730205278592375
103,"Woodson, KS",42276,3138,0,0.0
104,"Wyandotte, KS",34518,165429,200,0.0012089778696600959
